tier,repo_path,title,concepts_or_topic,kind,proposed_page,publishability,why_it_matters
0,team/humans/dinis_cruz/briefs/06/26/digital-twins-and-world-models/v0.33.35__arch-brief__sg-send-digital-twins-twin-of-anything-dimensions-discipline-of-reality-simulation-testing.md,Digital Twins of Anything,"C14,C1",arch-brief,/depth/twins-and-air-gaps/,clean,"Carries the tightest formulation of the whole thesis: properties are words, we capture meaning through connectivity. Site epigraph."
0,library/concepts/v0_4_0__thinking-in-graphs.md,Thinking in Graphs: Meaning Through Connectivity,"C1,C2,C4,C6,C7,C29",essay,/start/ (all 5 pages),LICENCE BLOCKER,The cornerstone. port:8080 and the five-Reviews examples. NO CC BY line; attributed to Issues-FS. Resolve before launch (G8).
0,library/concepts/v0_4_0__compatibility-through-connectivity.md,Compatibility Through Connectivity,"C5,C4,C1",essay,/depth/against-schema-first/,LICENCE BLOCKER,Every artifact is a graph; compatibility is graph comparison across five layers. Same Issues-FS licence caveat.
0,team/humans/dinis_cruz/briefs/06/10/network-intelligence/v0.33.16__arch-brief__sg-send-semantic-graph-visualisation-subgraph-flip-verb-edges.md,"Avoid The Blob, Verb Edges, Flip The Subgraph","C13,C11",arch-brief,"/grammar/the-blob/, /grammar/verbs/",clean,"The method layer. Blob anti-pattern, race-to-the-bottom, never relates-to, 300-400 node ceiling, the query is almost like a story."
0,team/humans/dinis_cruz/briefs/06/26/semantic-graph-and-query-paths/v0.33.35__arch-brief__sg-send-path-properties-read-as-language-ontology-of-ontologies-multigraph-creation-paths.md,Paths Read As Language,"C12,C9,C6,C13",arch-brief,/grammar/paths-read-as-language/,clean,The most accessible conceptual document in the corpus. The graph explains itself to whoever is reading it.
0,team/humans/dinis_cruz/briefs/06/26/semantic-graph-and-query-paths/v0.33.35__arch-brief__sg-send-directed-edges-inward-outward-query-paths-prevent-node-explosion.md,Directed Edges and Query Paths,C10,arch-brief,/grammar/direction/,clean,24 verb/inverse pairs plus a 17-query 5-tier path language with real notation. Ends with Honest Notes and Open Questions - already publication-shaped.
0,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-ontologies-of-ontologies-three-layers-formulas-bridges-multiple-definitions.md,Ontologies of Ontologies: Three Layers,C9,arch-brief,/depth/ontologies-of-ontologies/,clean,"1275 words, one clean table, no prerequisites beyond C1. Merging erases the disagreement."
0,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-node-type-formulas-classification-as-testable-path-pattern-not-judgment.md,Node Type Formulas,"C8,C1",arch-brief,/depth/node-type-formulas/,clean,"The strongest single sentence for a technical audience: the content of the node does not decide its type, its paths do."
0,team/humans/dinis_cruz/briefs/06/28/ontology-and-definitions/v0.33.36__arch-brief__sg-send-grounding-ladder-fact-evidence-measure-vulnerability-risk-definitions.md,The Grounding Ladder,"C16,C8,C14",arch-brief,/depth/the-grounding-ladder/,clean,"Fact to Evidence to Measure to Vulnerability to Risk. Downward grounds, upward implies. The worked instance of C8."
0,team/humans/dinis_cruz/briefs/06/16/theses-and-reflections/v0.33.38__strategy-brief__confidence-through-evidence-blast-radius-graphs-mapping-the-gaps.md,Confidence Through Evidence,"C2,C3",strategy-brief,/start/map-the-gaps/,clean,Explicitly named a follow-up thesis to meaning through connectivity. Short and plain. Absence of evidence is evidence.
0,team/humans/dinis_cruz/briefs/06/18/agentic-permissions/v0.33.40__strategy-brief__graphs-of-graphs-ontology-of-ontologies-permissions-mapping-reality-not-complexity.md,"Graphs Of Graphs: Mapping Reality, Not Complexity","C7,C9",strategy-brief,/depth/fractal/,clean,"What I am describing is not complexity, it is reality. 1568 words, newcomer-followable."
0,team/humans/dinis_cruz/briefs/08/06/voice-debrief/v0.33.56__arch-brief__sg-send-concepts-not-words-skos-is-the-model-divergence-is-the-finding.md,"Concepts, Not Words",C21,arch-brief,/depth/concepts-not-words/,clean,Opens with the plain terminology table a newcomer needs. A nuance survives translation because it was never stored in a word.
0,team/humans/dinis_cruz/briefs/07/12/worked-business-case/v0.33.48__briefing__sg-send-browser-isolation-agentic-automation-business-case-facts-vulnerabilities-risks-five-levels-graph.md,Browser Isolation Business Case,worked example,briefing,/examples/browser-isolation/,clean,"59 nodes 75 edges as inline JSON, drop-in renderable, vendor-anonymous, 7 public sources. Includes 3 risks of the mitigation itself."
0,team/humans/dinis_cruz/briefs/06/26/semantic-graph-and-query-paths/v0.33.35__data__sg-send-2fa-mappings.json,2FA Instance Graph (DATA),worked example,json-data,/examples/2fa/,clean,51 nodes 53 edges. THE ONLY DOWNLOADABLE MACHINE-READABLE GRAPH. Declares its own principles inside the file. CC BY 4.0 inline.
0,team/humans/dinis_cruz/briefs/06/26/semantic-graph-and-query-paths/v0.33.35__arch-brief__sg-send-2fa-use-case-semantic-graph-ontology-nodes-edges-instance.md,Semantic Graph: The 2FA Use Case,worked example,arch-brief,/examples/2fa/,clean,"22 node classes, 34 edge-type rows. A complete worked ontology concrete enough to be useful to a reader."
0,team/humans/dinis_cruz/briefs/08/02/vault-as-substrate/v0.33.55__arch-brief__sg-send-end-to-end-worked-example-article-26-5-creditworthiness-agent-fact-to-board.md,Article 26(5) End-to-End,worked example,arch-brief,/examples/article-26-5/,clean,Explicit node/edge inventory table. Escalation without an escalator. 5 unanswered questions as the actual output. Every invented element marked.
0,team/humans/dinis_cruz/briefs/07/04/risk-cards-and-visualization/v0.33.42__arch-brief__sg-send-browser-extension-risk-cards-read-content-closure-agent-escalation-bidirectional-evidence-graph.md,Browser Extension Read-Content Closure,worked example,arch-brief,/examples/browser-extensions/,clean,Highest relatability-to-length ratio in the corpus. Bidirectional query on one screen. Strong candidate for the first aha page.
0,.issues/config/node-types.json,Issues-FS node type schema,live graph schema,json-data,/grammar/ (downloadable),clean,12 node types with statuses and properties. A real running typed-property-graph schema. Cheapest credibility on the site.
0,.issues/config/link-types.json,Issues-FS link type schema,live graph schema,json-data,/grammar/ (downloadable),clean,10 verb/inverse edge types with source/target domain-range constraints. NOTE: ships a relates-to pair the corpus forbids - narrate it.
1,team/humans/dinis_cruz/briefs/07/05/aws-configuration-risk-engine/v0.33.44__arch-brief__sg-send-aws-iam-config-risk-ontology-taxonomy-nodes-edges-formulas-bridges.md,AWS IAM Config Risk Ontology,"worked example,C8",arch-brief,/examples/aws-iam/,clean,"6 layers, ~31 node types, 20 edge types (40 readings), 7 Node Type Formulas. AuthorizationClosure = the agentic union. Solves the false-positive problem every practitioner knows."
1,team/humans/dinis_cruz/briefs/06/24/risk-acceptance-and-reviews/v0.33.34__dev-brief__sg-send-personal-risk-acceptance-scenario-local-llm-question-graph-evidence-trifecta-delegation.md,Personal Risk Acceptance Question Graph,worked example,dev-brief,/examples/your-own-risk-graph/,clean,"THE LIVE DEMO CANDIDATE. Six questions, localStorage, no backend, no LLM required. Watch your own risk graph build itself."
1,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-fact-does-not-exist-in-a-vacuum-agenda-is-context-corrections-must-propagate.md,A Fact Does Not Exist In A Vacuum,C29,arch-brief,"/, /examples/10000-hours/",clean,"Carries the 10000-hours story: 242 papers, 200000+ supporting paths, traced back to nothing. THE BEST NON-TECHNICAL STORY IN THE CORPUS. Front page."
1,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__strategy-brief__sg-send-refactoring-meaning-decompilation-not-compilation-author-is-the-arbiter.md,Refactoring Meaning: Decompilation Not Compilation,"C22,C7,altitude",strategy-brief,/depth/ (more shelf),clean,The newest major concept. That is not what I meant is the elicitation working. Also the source of the altitude metaphor for the site IA.
1,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-index-is-not-a-source-caching-nodes-are-prunable-start-anywhere.md,An Index Is Not A Source,"C27,C30",arch-brief,/depth/ (more shelf),clean,Assertion vs pointer as structurally distinct node classes. Plus: it does not matter where you start - the property that makes the project finite.
1,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-evidence-packs-attach-never-mutate-weight-by-independence-not-count.md,"Attach, Never Mutate",C28,arch-brief,/depth/ (more shelf),clean,Contributions attach as subgraphs to an author-confirmed spine. Weight by independence not count. Abundance becomes a feature.
1,team/humans/dinis_cruz/briefs/08/09/graphing-text/v0.33.57__arch-brief__sg-send-enrichment-and-shared-anchors-research-paid-once-wikidata-is-the-concept-layer.md,Enrichment and Shared Anchors,"C6,C21",arch-brief,/grammar/anchor-nodes/,clean,"Wikidata as the global concept layer: language-independent IDs, tens of millions of entities, free. Research paid once."
1,team/humans/dinis_cruz/briefs/06/04/v0.32.3__arch-brief__sg-send-skill-as-projection-of-graph-forking-ecosystem.md,A Skill Is A Projection Of A Graph,"C19,C1,C7",arch-brief,/depth/ (more shelf),clean,"The graph is the truth, the skill is a view of it. Skills today are a photograph of what they should be."
1,team/humans/dinis_cruz/briefs/06/04/nhi-2.0/v0.32.3__arch-brief__sg-send-nhi-2.0-semantic-knowledge-graphs-of-identity.md,Semantic Knowledge Graphs of Identity,"C1,C9",arch-brief,/network/nhi/,clean,The reciprocal insight: the semantic webs verification gap means graphs need identities too. Bridge page to nhi.sgit.ai.
1,team/humans/dinis_cruz/briefs/06/04/nhi-2.0/v0.32.3__arch-brief__sg-send-nhi-2.0-trust-and-identity-web-of-trust-agent-trust-scores.md,Trust Through Connectivity,C23,arch-brief,/network/pki/,clean,Trust propagates like meaning: an identity is trusted to the extent it connects to nodes you already trust.
1,team/humans/dinis_cruz/briefs/06/05/v0.32.4__dev-brief__sg-send-pki-public-key-registry-on-vaults.md,Clues Not Storage,"C24,C1",dev-brief,/network/pki/,clean,"A registry holds clues that let you find the right information, not the information itself."
1,team/humans/dinis_cruz/briefs/07/12/architecture/v0.33.48__arch-brief__sg-send-fractal-semantic-graphs-agentic-operating-layer-deterministic-sovereign-open-source.md,Fractal Semantic Graphs All The Way Down,"C17,C7,C1",arch-brief,/depth/a-graph-at-every-boundary/,REWRITE REQUIRED,30 nodes 38 edges inline. Six properties from one decision. Prompt injection fails at the validator structurally. BUT the abstract is one ~500-word sentence - highest-value rewrite on the site.
