resolves,corpus,path,what_it_is,words,status_vs_original,why_it_matters
r001-2 · r001-4 · N3 · book title,Issues-FS,Issues-FS__Docs/docs/to_classify/v0_4_0__issues-fs__thinking-in-graphs.md,Thinking in Graphs: Meaning Through Connectivity,5013,**THE CORRECTION** - omitted from the original,"The book's TITLE is this document's subtitle. Commit 70916cf, 2026-02-05. Byte-identical copies in __Send library/concepts/ and the import staging folder (md5 51b67d93). Part 2 = Meaning Through Connectivity; Part 3 = The Fractal Principle; Part 4 = The Semantic Web's Insight (and Mistake); Summary = TEN core principles."
r001-3 chapter 2 dilution,Issues-FS,Issues-FS__Docs/docs/to_classify/v0_4_0__issues-fs__thinking-in-graphs.md#summary-core-principles,Summary: Core Principles - ten numbered principles,-,**NEW**,Book chapter 2 is 'The five ideas'. Source has TEN. Principles 6-10 (compatibility computed / honest uncertainty / enrichment not enforcement / cross-graph edges first-class / no node aware of how it's used) are the measurable dilution.
r001-4 lineage PRIMARY,Issues-FS,Issues-FS__Docs/docs/to_classify/v0_4_0__issues-fs__thinking-in-graphs.md#part-4,Part 4: Anchor Nodes and Reference Graphs (lines 264-316),-,**REORDERED to first**,"Names schema.org, SKOS, Dublin Core, PROV-O. Homage AND disagreement in one passage. The original led with the Solid brief instead."
r001-4 lineage SECONDARY,__Send,SGraph-AI__App__Send/team/humans/dinis_cruz/briefs/02/24/v0.6.17__architecture__solid-protocol-integration-complementary-architectures.md,Solid Protocol Integration,3278,demoted from first to second,"Solid, RDF, Berners-Lee engaged directly. 4 Turtle/RDF blocks for code exhibits. Still valuable, no longer primary."
r001-4 lineage · anchor nodes,Issues-FS,Issues-FS__Docs/docs/to_classify/v0_4_0__issues-fs__lexicon-architecture-v2.md,Lexicon Architecture v2,4485,**NEW**,Anchor nodes as reference WITHOUT authority - the positive form of the Semantic Web argument. NOTE: issues-fs-lexicon was never built.
r001-4 lineage · Zettelkasten,docs.diniscruz.ai,https://docs.diniscruz.ai/2025/06/18/bridging-niklas-luhmanns-ideas-with-semantic-knowledge-graphs-and-g3.html,Bridging Niklas Luhmann's Ideas with SKGs and G3,4727,retained,The non-computing ancestor. Only source for the Zettelkasten lineage. Published 2025-06-18.
r001-3 ch13 · Origins,Issues-FS,Issues-FS__Docs/docs/to_classify/6-feb-other/v0_4_0__issues-fs__the-journey.md,The Journey: From Voice Memos to Compatibility Testing,3483,**NEW - omitted entirely**,"Status: Historical Record. Type: Design Evolution Narrative. THE origins chapter, pre-written, dated 2026-02-05. Book ch13 currently starts four months late."
r002-3 book-as-graph,Issues-FS,Issues-FS__Docs/docs/to_classify/6-feb-other/v0_4_0__issues-fs__compatibility-through-connectivity.md,Compatibility Through Connectivity,3847,**NEW connection**,Status: Foundational. A book and its graph are two representations of one truth - this document's thesis applied to itself.
r002-3 · r002-6,Issues-FS,Issues-FS__Docs/docs/to_classify/6-feb/v0_4_0__issues-fs__semantic-graph-code-representation.md,Semantic graph code representation,2868,**NEW connection**,"Graph-to-code compilation; assertions target structure not text, so rewording a paragraph does not break a check."
r002-5 verification-as-use,Issues-FS,Issues-FS__Docs/docs/to_classify/6-feb-other/v0_4_0__issues-fs__llm-as-execution-engine.md,LLM as Execution Engine,3884,**NEW connection**,"'An LLM can act as the execution engine for code that doesn't exist yet.' The prompt is the specification. Exactly what r002-5 proposes, argued 2026-02-05."
r002-6 evidence depth,Issues-FS,Issues-FS__Docs/docs/to_classify/6-feb/v0_4_0__issues-fs__semantic-testing-dsl.md,Semantic testing DSL,3461,**NEW connection**,for each Risk in document / assert Risk.remediation exists. Anti-Gherkin. WARNING: self-flags NEEDS EXPLORATION - label exploratory.
r001-3 ch4 · the edge set,Issues-FS,ifs-modules/Issues-FS/issues_fs/schemas/graph/Schema__Link__Type.py,"Link type schema: verb, inverse_verb, source_types, target_types",-,**NEW**,"The edge grammar is SHIPPED, typed and domain/range-constrained in code. Chapter 4 argues it as doctrine; it can cite an implementation."
r001-3 ch4 · live edge set,__Send,SGraph-AI__App__Send/.issues/config/link-types.json,10 verb/inverse pairs with constraints,-,"retained, re-weighted",Live data. WARNING: ships a relates-to self-inverse pair the book's grammar chapter bans. Narrate the contradiction.
r001-5 databases,ifs-modules,ifs-modules/Issues-FS/issues_fs/schemas/enums/Enum__Graph__Storage__Backend.py,"4 storage backends: memory, local_disk, sqlite, zip",-,**NEW**,"Issues-FS ships four backends in code, 604 tests. Strengthens the corrected claim: databases as ephemeral engines, file system as source of truth."
